channel,message_id,timestamp,views,sender_id,clean_text,tokens
Shageronlinestore,7479,2025-07-04T12:06:08+00:00,1722,,ፔርሙዝ ሳህን ትኩሱን ትኩስ ቀዝቃዛውን ቀዝቃዛ አድርጎ ያቆያል ለዝግጅትና ለግብዣ እንዲሁም ለጉዞ የሚፈለግ ክዳኑ አስተማማኞ መቆለፊያ ያለው 2 ሊትር ዋጋ 2000ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ ዛም ሞል 2ኛ ፎቅ ቢሮ ቁ 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""ፔርሙዝ"", ""ሳህን"", ""ትኩሱን"", ""ትኩስ"", ""ቀዝቃዛውን"", ""ቀዝቃዛ"", ""አድርጎ"", ""ያቆያል"", ""ለዝግጅትና"", ""ለግብዣ"", ""እንዲሁም"", ""ለጉዞ"", ""የሚፈለግ"", ""ክዳኑ"", ""አስተማማኞ"", ""መቆለፊያ"", ""ያለው"", ""2"", ""ሊትር"", ""ዋጋ"", ""2000ብር"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""100ሜ"", ""ወደ"", ""ሙዚቃ"", ""ቤት"", ""ከፍ"", ""ብሎ"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7478,2025-07-04T07:15:26+00:00,2309,,1 60 ዋጋ፦ 600 ብር አድራሻ ቁ 1 ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 ለቡ ቅርንጫፍ 0973611819 0909522840 0923350054 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""1"", ""60"", ""ዋጋ"", ""፦"", ""600"", ""ብር"", ""አድራሻ"", ""ቁ"", ""1"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ፊት"", ""ለፊት"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁጥር"", ""214"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""0909522840"", ""0923350054"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7477,2025-07-04T07:15:26+00:00,1956,,1 60 ዋጋ፦ 600 ብር ኑሮወን የሚያቀሉ የተለያዩ እቃወች ከ አድራሻ ቁ 1 ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 ለቡ ቅርንጫፍ 0973611819 0909522840 0923350054 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""1"", ""60"", ""ዋጋ"", ""፦"", ""600"", ""ብር"", ""ኑሮወን"", ""የሚያቀሉ"", ""የተለያዩ"", ""እቃወች"", ""ከ"", ""አድራሻ"", ""ቁ"", ""1"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ፊት"", ""ለፊት"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁጥር"", ""214"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""0909522840"", ""0923350054"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7475,2025-07-03T17:03:49+00:00,2999,,የፀጉር ማስተካከያ የራስ ፀጉር እና ፂምን በስርአት እና በጥራት ለማስተካከል አስተማማኝ ማሽን በሚፈልጉት መጠን ለመቁረጥ መቀያየሪ ቁጥሮች ያሉት በቻርጅ የሚሰራ አስተማምኝ ባትሪ ዋጋ 2300ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ ዛም ሞል 2ኛ ፎቅ ቢሮ ቁ 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""የፀጉር"", ""ማስተካከያ"", ""የራስ"", ""ፀጉር"", ""እና"", ""ፂምን"", ""በስርአት"", ""እና"", ""በጥራት"", ""ለማስተካከል"", ""አስተማማኝ"", ""ማሽን"", ""በሚፈልጉት"", ""መጠን"", ""ለመቁረጥ"", ""መቀያየሪ"", ""ቁጥሮች"", ""ያሉት"", ""በቻርጅ"", ""የሚሰራ"", ""አስተማምኝ"", ""ባትሪ"", ""ዋጋ"", ""2300ብር"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""100ሜ"", ""ወደ"", ""ሙዚቃ"", ""ቤት"", ""ከፍ"", ""ብሎ"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7474,2025-07-03T11:38:12+00:00,3529,,በኤሌክትሪክ የሚሰራ ለቤት መልካም መዓዛን የሚሰጥ 500 ዋጋ፦ 2 000ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""በኤሌክትሪክ"", ""የሚሰራ"", ""ለቤት"", ""መልካም"", ""መዓዛን"", ""የሚሰጥ"", ""500"", ""ዋጋ"", ""፦"", ""2"", ""000ብር"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ፊት"", ""ለፊት"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁጥር"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7468,2025-07-03T07:17:07+00:00,3316,,2 1 የጁስ የቡና የቅመም መፍጫ 1 5 4 300 ዋጋ፦ 3 200ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ ዛም ሞል 2ኛ ፎቅ ቢሮ ቁ 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""2"", ""1"", ""የጁስ"", ""የቡና"", ""የቅመም"", ""መፍጫ"", ""1"", ""5"", ""4"", ""300"", ""ዋጋ"", ""፦"", ""3"", ""200ብር"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""100ሜ"", ""ወደ"", ""ሙዚቃ"", ""ቤት"", ""ከፍ"", ""ብሎ"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7467,2025-07-02T14:51:17+00:00,4021,,2000 1 ዋጋ፦ 8200 ብር ውስን ፍሬ ነው ያለን አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ወደ ሙዚቃ ቤት ከፍ ብሎ ዛም ሞል 2ኛ ፎቅ ቢሮ ቁ 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""2000"", ""1"", ""ዋጋ"", ""፦"", ""8200"", ""ብር"", ""ውስን"", ""ፍሬ"", ""ነው"", ""ያለን"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ወደ"", ""ሙዚቃ"", ""ቤት"", ""ከፍ"", ""ብሎ"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7466,2025-07-02T09:02:22+00:00,3961,,የሸቶ መቀነሻ የሸቶ መቀነሻ ዋጋ፦ 200 ብር ዉስን ፍሬ ነው ያለን አድራሻ ቁ 1 መገናኛ ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 ለቡ ቅርንጫፍ 0973611819 0909522840 0923350054 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""የሸቶ"", ""መቀነሻ"", ""የሸቶ"", ""መቀነሻ"", ""ዋጋ"", ""፦"", ""200"", ""ብር"", ""ዉስን"", ""ፍሬ"", ""ነው"", ""ያለን"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ፊት"", ""ለፊት"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁጥር"", ""214"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""0909522840"", ""0923350054"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7465,2025-07-02T09:02:22+00:00,3647,,የሸቶ መቀነሻ የሸቶ መቀነሻ ዋጋ፦ 200 ብር ዉስን ፍሬ ነው ያለን አድራሻ ቁ 1 መገናኛ ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 ለቡ ቅርንጫፍ 0973611819 0909522840 0923350054 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""የሸቶ"", ""መቀነሻ"", ""የሸቶ"", ""መቀነሻ"", ""ዋጋ"", ""፦"", ""200"", ""ብር"", ""ዉስን"", ""ፍሬ"", ""ነው"", ""ያለን"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ፊት"", ""ለፊት"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁጥር"", ""214"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""0909522840"", ""0923350054"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7464,2025-07-02T07:00:54+00:00,3562,,100 ዋጋ 300ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""100"", ""ዋጋ"", ""300ብር"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ፊት"", ""ለፊት"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁጥር"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7459,2025-07-02T07:00:53+00:00,3227,,100 ዋጋ 300ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""100"", ""ዋጋ"", ""300ብር"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ፊት"", ""ለፊት"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁጥር"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7458,2025-07-01T08:44:10+00:00,4133,,በኤሌክትሪክ የሚሰራ ለቤት መልካም መዓዛን የሚሰጥ 280 ዋጋ፦ 1300ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""በኤሌክትሪክ"", ""የሚሰራ"", ""ለቤት"", ""መልካም"", ""መዓዛን"", ""የሚሰጥ"", ""280"", ""ዋጋ"", ""፦"", ""1300ብር"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ፊት"", ""ለፊት"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁጥር"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7454,2025-07-01T08:44:10+00:00,3776,,በኤሌክትሪክ የሚሰራ ለቤት መልካም መዓዛን የሚሰጥ 280 ዋጋ፦ 1300ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""በኤሌክትሪክ"", ""የሚሰራ"", ""ለቤት"", ""መልካም"", ""መዓዛን"", ""የሚሰጥ"", ""280"", ""ዋጋ"", ""፦"", ""1300ብር"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ፊት"", ""ለፊት"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁጥር"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
Shageronlinestore,7453,2025-06-30T16:20:56+00:00,4570,,የቤት ማሞቂያ ባለ አንድ የሃይል መጨመሪያና መቀነሻ ያለው 1200 ዋጋ 2800 ብር ውስን ፍሬ ነው ያለን አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ወደ ሙዚቃ ቤት ከፍ ብሎ ዛም ሞል 2ኛ ፎቅ ቢሮ ቁ 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"[""የቤት"", ""ማሞቂያ"", ""ባለ"", ""አንድ"", ""የሃይል"", ""መጨመሪያና"", ""መቀነሻ"", ""ያለው"", ""1200"", ""ዋጋ"", ""2800"", ""ብር"", ""ውስን"", ""ፍሬ"", ""ነው"", ""ያለን"", ""አድራሻ"", ""ቁ"", ""1"", ""መገናኛ"", ""ታሜ"", ""ጋስ"", ""ህንፃ"", ""ጎን"", ""ስሪ"", ""ኤም"", ""ሲቲ"", ""ሞል"", ""ሁለተኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""05"", ""ከ"", ""ሊፍቱ"", ""ፊት"", ""ለ"", ""ፊት"", ""ቁ"", ""2"", ""ለቡ"", ""መዳህኒዓለም"", ""ቤተ"", ""ክርስቲያን"", ""ወደ"", ""ሙዚቃ"", ""ቤት"", ""ከፍ"", ""ብሎ"", ""ዛም"", ""ሞል"", ""2ኛ"", ""ፎቅ"", ""ቢሮ"", ""ቁ"", ""214"", ""0909522840"", ""0923350054"", ""ለቡ"", ""ቅርንጫፍ"", ""0973611819"", ""በ"", ""ለማዘዝ"", ""ይጠቀሙ"", ""ለተጨማሪ"", ""ማብራሪያ"", ""የቴሌግራም"", ""ገፃችን""]"
